theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.3,0.02,1,0.95,0.05,0.0,0.0,0.0,0.0
"(1,1)",0.3,0.02,2,0.91,0.08,0.01,0.0,0.0,0.0
"(1,1)",0.3,0.02,3,0.81,0.18,0.01,0.0,0.0,0.0
"(1,1)",0.3,0.02,4,0.65,0.32,0.03,0.0,0.0,0.0
"(1,1)",0.3,0.02,5,0.49,0.47,0.02,0.02,0.0,0.0
"(1,1)",0.3,0.02,6,0.33,0.58,0.06,0.03,0.0,0.0
"(1,1)",0.3,0.02,7,0.24,0.55,0.15,0.06,0.0,0.0
"(1,1)",0.3,0.02,8,0.19,0.51,0.17,0.12,0.01,0.0
"(1,1)",0.3,0.02,9,0.16,0.37,0.3,0.15,0.02,0.0
"(1,1)",0.3,0.02,10,0.13,0.31,0.31,0.21,0.04,0.0
"(1,1)",0.3,0.02,11,0.08,0.31,0.26,0.24,0.11,0.0
"(1,1)",0.3,0.02,12,0.06,0.28,0.21,0.29,0.13,0.03
"(1,1)",0.3,0.02,13,0.04,0.25,0.22,0.29,0.15,0.05
"(1,1)",0.3,0.02,14,0.03,0.24,0.17,0.31,0.18,0.07
"(1,1)",0.3,0.02,15,0.03,0.2,0.2,0.27,0.19,0.11
"(1,1)",0.3,0.02,16,0.02,0.18,0.19,0.26,0.21,0.14
"(1,1)",0.3,0.02,17,0.01,0.18,0.16,0.22,0.26,0.17
"(1,1)",0.3,0.02,18,0.01,0.17,0.14,0.21,0.25,0.22
"(1,1)",0.3,0.02,19,0.01,0.17,0.12,0.17,0.23,0.3
"(1,1)",0.3,0.02,20,0.0,0.16,0.13,0.16,0.17,0.38
"(1,1)",0.3,0.02,21,0.0,0.15,0.11,0.16,0.13,0.45
"(1,1)",0.3,0.02,22,0.0,0.14,0.11,0.13,0.14,0.48
"(1,1)",0.3,0.02,23,0.0,0.14,0.08,0.13,0.15,0.5
"(1,1)",0.3,0.02,24,0.0,0.13,0.09,0.1,0.13,0.55
"(1,1)",0.3,0.02,25,0.0,0.13,0.09,0.09,0.12,0.57
"(1,1)",0.3,0.02,26,0.0,0.12,0.1,0.09,0.09,0.6
"(1,1)",0.3,0.02,27,0.0,0.12,0.09,0.1,0.07,0.62
"(1,1)",0.3,0.02,28,0.0,0.11,0.1,0.1,0.05,0.64
"(1,1)",0.3,0.02,29,0.0,0.11,0.1,0.09,0.05,0.65
"(1,1)",0.3,0.02,30,0.0,0.11,0.1,0.09,0.05,0.65
"(1,1)",0.3,0.02,31,0.0,0.11,0.1,0.07,0.07,0.65
"(1,1)",0.3,0.02,32,0.0,0.11,0.1,0.06,0.06,0.67
"(1,1)",0.3,0.02,33,0.0,0.11,0.1,0.06,0.05,0.68
"(1,1)",0.3,0.02,34,0.0,0.11,0.1,0.06,0.03,0.7
"(1,1)",0.3,0.02,35,0.0,0.1,0.11,0.06,0.01,0.72
"(1,1)",0.3,0.02,36,0.0,0.1,0.11,0.06,0.01,0.72
"(1,1)",0.3,0.02,37,0.0,0.09,0.11,0.07,0.01,0.72
"(1,1)",0.3,0.02,38,0.0,0.09,0.1,0.07,0.02,0.72
"(1,1)",0.3,0.02,39,0.0,0.09,0.1,0.06,0.03,0.72
"(1,1)",0.3,0.02,40,0.0,0.09,0.1,0.06,0.01,0.74
"(1,1)",0.3,0.02,41,0.0,0.09,0.1,0.05,0.02,0.74
"(1,1)",0.3,0.02,42,0.0,0.09,0.1,0.05,0.01,0.75
"(1,1)",0.3,0.02,43,0.0,0.09,0.1,0.05,0.01,0.75
"(1,1)",0.3,0.02,44,0.0,0.09,0.09,0.06,0.01,0.75
"(1,1)",0.3,0.02,45,0.0,0.09,0.07,0.08,0.01,0.75
"(1,1)",0.3,0.02,46,0.0,0.09,0.07,0.07,0.02,0.75
"(1,1)",0.3,0.02,47,0.0,0.09,0.07,0.05,0.04,0.75
"(1,1)",0.3,0.02,48,0.0,0.09,0.06,0.06,0.03,0.76
"(1,1)",0.3,0.02,49,0.0,0.09,0.06,0.06,0.03,0.76
"(1,1)",0.3,0.02,50,0.0,0.09,0.06,0.06,0.03,0.76
"(1,1)",0.3,0.02,51,0.0,0.09,0.06,0.04,0.04,0.77
"(1,1)",0.3,0.02,52,0.0,0.09,0.06,0.04,0.03,0.78
"(1,1)",0.3,0.02,53,0.0,0.09,0.06,0.04,0.01,0.8
"(1,1)",0.3,0.02,54,0.0,0.09,0.06,0.04,0.01,0.8
"(1,1)",0.3,0.02,55,0.0,0.09,0.06,0.04,0.01,0.8
"(1,1)",0.3,0.02,56,0.0,0.09,0.06,0.04,0.01,0.8
"(1,1)",0.3,0.02,57,0.0,0.09,0.06,0.04,0.01,0.8
"(1,1)",0.3,0.02,58,0.0,0.09,0.06,0.04,0.01,0.8
"(1,1)",0.3,0.02,59,0.0,0.09,0.05,0.05,0.0,0.81
"(1,1)",0.3,0.02,60,0.0,0.09,0.05,0.04,0.01,0.81
"(1,1)",0.3,0.02,61,0.0,0.09,0.05,0.03,0.02,0.81
"(1,1)",0.3,0.02,62,0.0,0.09,0.05,0.03,0.02,0.81
"(1,1)",0.3,0.02,63,0.0,0.09,0.05,0.03,0.02,0.81
"(1,1)",0.3,0.02,64,0.0,0.09,0.05,0.03,0.02,0.81
"(1,1)",0.3,0.02,65,0.0,0.09,0.05,0.02,0.02,0.82
"(1,1)",0.3,0.02,66,0.0,0.09,0.05,0.02,0.02,0.82
"(1,1)",0.3,0.02,67,0.0,0.09,0.05,0.02,0.02,0.82
"(1,1)",0.3,0.02,68,0.0,0.09,0.05,0.02,0.02,0.82
"(1,1)",0.3,0.02,69,0.0,0.09,0.05,0.02,0.02,0.82
"(1,1)",0.3,0.02,70,0.0,0.09,0.05,0.02,0.0,0.84
