theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,1)",0.1,0.02,1,22,5,True,0.8312320515514463
"(1,1)",0.1,0.02,2,13,5,True,0.8342245989304813
"(1,1)",0.1,0.02,3,52,5,True,0.839572192513369
"(1,1)",0.1,0.02,4,19,5,True,0.788784769223472
"(1,1)",0.1,0.02,5,34,5,True,0.839572192513369
"(1,1)",0.1,0.02,6,16,5,True,0.8341968911917098
"(1,1)",0.1,0.02,7,70,3,False,0.057971014492753624
"(1,1)",0.1,0.02,8,15,5,True,0.8325761399966347
"(1,1)",0.1,0.02,9,24,5,True,0.8306878306878307
"(1,1)",0.1,0.02,10,33,5,True,0.8324607329842932
"(1,1)",0.1,0.02,11,12,5,True,0.8324779306097311
"(1,1)",0.1,0.02,12,38,5,True,0.8281249999999999
"(1,1)",0.1,0.02,13,42,5,True,0.84375
"(1,1)",0.1,0.02,14,12,5,True,0.839572192513369
"(1,1)",0.1,0.02,15,48,5,True,0.8429319371727748
"(1,1)",0.1,0.02,16,26,5,True,0.845360824742268
"(1,1)",0.1,0.02,17,22,5,True,0.8014479671084115
"(1,1)",0.1,0.02,18,20,5,True,0.826530612244898
"(1,1)",0.1,0.02,19,20,5,True,0.844559585492228
"(1,1)",0.1,0.02,20,11,5,True,0.8404255319148937
"(1,1)",0.1,0.02,21,29,5,True,0.8229177098313178
"(1,1)",0.1,0.02,22,29,5,True,0.8412698412698413
"(1,1)",0.1,0.02,23,21,5,True,0.839572192513369
"(1,1)",0.1,0.02,24,16,5,True,0.8404255319148937
"(1,1)",0.1,0.02,25,17,5,True,0.8263157894736841
"(1,1)",0.1,0.02,26,25,5,True,0.8404255319148937
"(1,1)",0.1,0.02,27,11,5,True,0.8288770053475937
"(1,1)",0.1,0.02,28,29,5,True,0.8429319371727748
"(1,1)",0.1,0.02,29,29,5,True,0.839572192513369
"(1,1)",0.1,0.02,30,23,5,True,0.8071065989847716
"(1,1)",0.1,0.02,31,14,5,True,0.8323301207334469
"(1,1)",0.1,0.02,32,70,0,False,0.055522934784693306
"(1,1)",0.1,0.02,33,16,5,True,0.8387096774193549
"(1,1)",0.1,0.02,34,24,5,True,0.8429319371727748
"(1,1)",0.1,0.02,35,26,5,True,0.8210526315789474
"(1,1)",0.1,0.02,36,15,5,True,0.8412698412698413
"(1,1)",0.1,0.02,37,58,5,True,0.8282828282828284
"(1,1)",0.1,0.02,38,16,5,True,0.8378378378378378
"(1,1)",0.1,0.02,39,70,1,False,0.18429435509749337
"(1,1)",0.1,0.02,40,18,5,True,0.7309074199248856
"(1,1)",0.1,0.02,41,70,0,False,0.06075736535018293
"(1,1)",0.1,0.02,42,10,5,True,0.8387096774193549
"(1,1)",0.1,0.02,43,70,1,False,0.07688166930451931
"(1,1)",0.1,0.02,44,23,5,True,0.8421052631578947
"(1,1)",0.1,0.02,45,19,5,True,0.8290155440414507
"(1,1)",0.1,0.02,46,37,5,True,0.8404255319148937
"(1,1)",0.1,0.02,47,28,5,True,0.8429319371727748
"(1,1)",0.1,0.02,48,70,1,False,0.07906480805767746
"(1,1)",0.1,0.02,49,15,5,True,0.8412698412698413
"(1,1)",0.1,0.02,50,26,5,True,0.8315789473684211
"(1,1)",0.1,0.02,51,15,5,True,0.8404255319148937
"(1,1)",0.1,0.02,52,34,5,True,0.8310059846110003
"(1,1)",0.1,0.02,53,19,5,True,0.797979797979798
"(1,1)",0.1,0.02,54,27,5,True,0.8421052631578947
"(1,1)",0.1,0.02,55,30,5,True,0.8230251497291547
