theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(6,1)",0.2,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(6,1)",0.2,0.02,2,0.89,0.11,0.0,0.0,0.0,0.0
"(6,1)",0.2,0.02,3,0.67,0.31,0.02,0.0,0.0,0.0
"(6,1)",0.2,0.02,4,0.46,0.45,0.08,0.01,0.0,0.0
"(6,1)",0.2,0.02,5,0.2,0.57,0.18,0.05,0.0,0.0
"(6,1)",0.2,0.02,6,0.13,0.47,0.26,0.14,0.0,0.0
"(6,1)",0.2,0.02,7,0.1,0.37,0.3,0.18,0.05,0.0
"(6,1)",0.2,0.02,8,0.08,0.26,0.36,0.19,0.1,0.01
"(6,1)",0.2,0.02,9,0.06,0.25,0.25,0.31,0.09,0.04
"(6,1)",0.2,0.02,10,0.04,0.25,0.18,0.26,0.21,0.06
"(6,1)",0.2,0.02,11,0.03,0.2,0.19,0.21,0.22,0.15
"(6,1)",0.2,0.02,12,0.03,0.15,0.16,0.24,0.2,0.22
"(6,1)",0.2,0.02,13,0.01,0.14,0.12,0.24,0.2,0.29
"(6,1)",0.2,0.02,14,0.01,0.1,0.09,0.26,0.17,0.37
"(6,1)",0.2,0.02,15,0.01,0.07,0.08,0.22,0.18,0.44
"(6,1)",0.2,0.02,16,0.01,0.05,0.08,0.18,0.17,0.51
"(6,1)",0.2,0.02,17,0.01,0.03,0.08,0.16,0.18,0.54
"(6,1)",0.2,0.02,18,0.01,0.03,0.04,0.13,0.23,0.56
"(6,1)",0.2,0.02,19,0.01,0.03,0.02,0.12,0.19,0.63
"(6,1)",0.2,0.02,20,0.01,0.03,0.01,0.06,0.19,0.7
"(6,1)",0.2,0.02,21,0.01,0.03,0.0,0.07,0.12,0.77
"(6,1)",0.2,0.02,22,0.01,0.03,0.0,0.05,0.07,0.84
"(6,1)",0.2,0.02,23,0.01,0.03,0.0,0.03,0.06,0.87
"(6,1)",0.2,0.02,24,0.01,0.03,0.0,0.01,0.04,0.91
"(6,1)",0.2,0.02,25,0.01,0.03,0.0,0.01,0.02,0.93
"(6,1)",0.2,0.02,26,0.01,0.03,0.0,0.01,0.01,0.94
"(6,1)",0.2,0.02,27,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,28,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,29,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,30,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,31,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,32,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,33,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,34,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,35,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,36,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,37,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,38,0.01,0.03,0.0,0.01,0.0,0.95
"(6,1)",0.2,0.02,39,0.01,0.02,0.01,0.01,0.0,0.95
"(6,1)",0.2,0.02,40,0.01,0.02,0.0,0.02,0.0,0.95
"(6,1)",0.2,0.02,41,0.01,0.02,0.0,0.02,0.0,0.95
"(6,1)",0.2,0.02,42,0.01,0.02,0.0,0.01,0.01,0.95
"(6,1)",0.2,0.02,43,0.01,0.02,0.0,0.01,0.01,0.95
"(6,1)",0.2,0.02,44,0.01,0.02,0.0,0.01,0.01,0.95
"(6,1)",0.2,0.02,45,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,46,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,47,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,48,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,49,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,50,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,51,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,52,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,53,0.01,0.02,0.0,0.01,0.0,0.96
"(6,1)",0.2,0.02,54,0.01,0.01,0.01,0.01,0.0,0.96
"(6,1)",0.2,0.02,55,0.01,0.01,0.0,0.02,0.0,0.96
"(6,1)",0.2,0.02,56,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,57,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,58,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,59,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,60,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,61,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,62,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,63,0.01,0.01,0.0,0.01,0.01,0.96
"(6,1)",0.2,0.02,64,0.01,0.01,0.0,0.01,0.0,0.97
"(6,1)",0.2,0.02,65,0.01,0.01,0.0,0.01,0.0,0.97
"(6,1)",0.2,0.02,66,0.01,0.01,0.0,0.01,0.0,0.97
"(6,1)",0.2,0.02,67,0.01,0.01,0.0,0.01,0.0,0.97
"(6,1)",0.2,0.02,68,0.01,0.01,0.0,0.01,0.0,0.97
"(6,1)",0.2,0.02,69,0.01,0.01,0.0,0.01,0.0,0.97
"(6,1)",0.2,0.02,70,0.01,0.01,0.0,0.01,0.0,0.97
